N1,啓,ケイ,"ひら.く, さと.す","divulguer, ouvrir, dire",
N1,竜,"リュウ, リョウ",たつ,"dragon, impérial",
N1,喉,コウ,のど,"gorge, voix",
N1,喚,カン,わめ.く,"hurler, crier",
N1,端,タン,はし,"bord, pointe, bordure, extrémité",
N1,喝,カツ,-,"rauque, gronder",
N1,喪,ソウ,も,"deuil, perte",
N1,笛,テキ,ふえ,"flûte, pipeau, sifflet",
N1,嗣,シ,-,"héritier, succéder à",
N1,嘆,タン,なげ.く,"se lamenter, gémir, chagrin, peine",
N1,嘱,ショク,"しょく.する, たの.む","confier, demander",
N1,噴,フン,ふ.く,"émettre, jailler, éruption",
N1,嚇,カク,おど.かす,"menaçant, intimidant, dignité, majesté",
N1,囚,シュウ,とら.われる,"criminel, prisonnier, arrêter, attraper",
N1,策,サク,-,"stratégie, plan, politique",
N1,箇,"カ, コ",-,compteur pour les choses ou les articles,
N1,範,ハン,-,"modèle, motif, exemple",
N1,篤,トク,あつ.い,"ardent, gentil, cordial, sérieux, délibéré",
N1,圏,ケン,かこ.い,"sphère, cercle, rayon",
N1,簿,ボ,-,"livre de compte, registre administratif",
N1,粋,スイ,いき,"élégant, chic, stylé, pureté",
N1,粗,ソ,あら.い,"grossier, rude",
N1,粘,ネン,ねば.る,"collant, adhésif, gluant, persévérer, persister",
N1,坑,コウ,-,"mine, carrière, fosse, trou",
N1,坪,ヘイ,つぼ,"unité de surface (tsubo = 3,306 m² = 2 tatamis)",
N1,垂,スイ,た.れる,"suspendre, pendre",
N1,糖,トウ,-,sucre,
N1,垣,エン,かき,"haie, clôture, mur",
N1,系,ケイ,-,"système, lignée, descendance",
N1,糾,キュウ,ただ.す,"entortiller, demander, enquêter, vérifier",
N1,執,"シツ, シュウ",と.る,"tenace, s'emparer de, saisir",
N1,培,バイ,つちか.う,"culture agricole, cultiver",
N1,堀,クツ,ほり,"fossé, douve, tranchée",
N1,納,"ノウ, ナ, ナン, トウ",おさ.める,"régler, fournir, payer, être acquitté",
N1,堅,ケン,かた.い,"dur, solide ,tendu, ferme",
N1,堕,ダ,"お.ちる, くず.す","dégénérer, sombrer",
N1,堤,テイ,つつみ,"digue, berge",
N1,堪,"カン, タン","た.える, たま.る, こ.らえる, こた.える","résister, endurer, supporter",
N1,素,"ソ, ス",もと,"élément, principe, nu, découvert",
N1,紡,ボウ,つむ.ぐ,"filage, filature (de textile)",
N1,塀,ヘイ,-,"barrière, mur",
N1,塁,ルイ,とりで,"base (au base-ball), forteresse, rempart",
N1,塊,"カイ, ケ","かたまり, つちくれ","morceau, motte, masse",
N1,塑,ソ,でく,"modèle, moulure, plastique",
N1,紳,シン,-,"gentleman, sire",
N1,塚,チョウ,つか,"butte de terre, tombe, tertre",
N1,塾,ジュク,-,"cours particulier, école privée",
N1,墓,ボ,はか,"tombe, tombeau",
N1,絞,コウ,"しぼ.る, し.める","comprimer, étrangler, serrer",
N1,墜,ツイ,お.ちる,"tomber, s'écraser",
N1,墨,ボク,すみ,"encre de Chine, encre noire, pierre d'encre",
